time,msg,oid,tid,fid,side,price,qty
0,add, ,0, ,buy,5018,20
0,ackn,0, , , , , 
0,add, ,1, ,buy,5029,33
0,ackn,1, , , , , 
0,add, ,2, ,buy,5008,62
0,ackn,2, , , , , 
0,add, ,3, ,sell,5069,59
0,ackn,3, , , , , 
0,add, ,4, ,buy,4930,32
0,ackn,4, , , , , 
0,add, ,5, ,sell,5099,27
0,ackn,5, , , , , 
0,add, ,6, ,buy,5016,2
0,ackn,6, , , , , 
0,add, ,7, ,buy,5024,56
0,ackn,7, , , , , 
0,add, ,8, ,sell,5035,17
0,ackn,8, , , , , 
0,add, ,9, ,buy,5009,16
0,ackn,9, , , , , 
1,add, ,0, ,buy,4974,21
1,ackn,10, , , , , 
1,add, ,1, ,buy,4977,16
1,ackn,11, , , , , 
1,add, ,2, ,sell,5060,75
1,ackn,12, , , , , 
1,add, ,3, ,sell,5164,18
1,ackn,13, , , , , 
1,add, ,4, ,buy,5029,11
1,ackn,14, , , , , 
1,add, ,5, ,sell,5047,10
1,ackn,15, , , , , 
1,add, ,6, ,buy,5027,13
1,ackn,16, , , , , 
1,add, ,7, ,buy,5026,46
1,ackn,17, , , , , 
1,add, ,8, ,buy,5021,57
1,ackn,18, , , , , 
1,add, ,9, ,buy,5023,12
1,ackn,19, , , , , 
2,add, ,0, ,sell,5033,37
2,ackn,20, , , , , 
2,add, ,1, ,sell,5042,68
2,ackn,21, , , , , 
2,add, ,2, ,sell,5046,3
2,ackn,22, , , , , 
2,add, ,3, ,sell,5069,47
2,ackn,23, , , , , 
2,add, ,4, ,sell,5042,12
2,ackn,24, , , , , 
2,add, ,5, ,buy,5031,52
2,ackn,25, , , , , 
2,add, ,6, ,buy,5025,32
2,ackn,26, , , , , 
2,add, ,7, ,sell,5036,7
2,ackn,27, , , , , 
2,add, ,8, ,sell,5032,17
2,ackn,28, , , , , 
2,add, ,9, ,sell,5034,4
2,ackn,29, , , , , 
3,add, ,0, ,buy,5028,3
3,ackn,30, , , , , 
3,add, ,1, ,buy,4921,57
3,ackn,31, , , , , 
3,add, ,2, ,buy,5029,10
3,ackn,32, , , , , 
3,add, ,3, ,buy,4984,1
3,ackn,33, , , , , 
3,add, ,4, ,buy,5004,8
3,ackn,34, , , , , 
3,add, ,5, ,buy,5030,9
3,ackn,35, , , , , 
3,add, ,6, ,sell,5038,85
3,ackn,36, , , , , 
3,add, ,7, ,buy,5033,13
3,ackn,37, , , , , 
3,fill,28, ,0, , ,13
3,fill,37, ,1, , ,13
3,add, ,8, ,buy,5023,1
3,ackn,38, , , , , 
3,add, ,9, ,sell,5197,30
3,ackn,39, , , , , 
4,add, ,0, ,sell,5084,51
4,ackn,40, , , , , 
4,add, ,1, ,sell,5088,22
4,ackn,41, , , , , 
4,add, ,2, ,sell,5203,20
4,ackn,42, , , , , 
4,add, ,3, ,sell,5132,38
4,ackn,43, , , , , 
4,add, ,4, ,buy,5007,9
4,ackn,44, , , , , 
4,add, ,5, ,sell,5039,21
4,ackn,45, , , , , 
4,add, ,6, ,buy,5030,27
4,ackn,46, , , , , 
4,add, ,7, ,sell,5092,25
4,ackn,47, , , , , 
4,add, ,8, ,buy,5022,24
4,ackn,48, , , , , 
4,add, ,9, ,buy,4962,24
4,ackn,49, , , , , 
5,add, ,0, ,buy,5006,50
5,ackn,50, , , , , 
5,add, ,1, ,buy,4957,5
5,ackn,51, , , , , 
5,add, ,2, ,buy,5035,22
5,ackn,52, , , , , 
5,fill,28, ,2, , ,4
5,fill,20, ,3, , ,18
5,fill,52, ,4, , ,22
5,add, ,3, ,buy,5016,34
5,ackn,53, , , , , 
5,add, ,4, ,sell,5035,34
5,ackn,54, , , , , 
5,add, ,5, ,buy,4955,49
5,ackn,55, , , , , 
5,add, ,6, ,sell,5042,9
5,ackn,56, , , , , 
5,add, ,7, ,buy,4951,2
5,ackn,57, , , , , 
5,add, ,8, ,sell,5036,4
5,ackn,58, , , , , 
5,add, ,9, ,buy,5024,4
5,ackn,59, , , , , 
6,add, ,0, ,sell,5039,63
6,ackn,60, , , , , 
6,add, ,1, ,buy,4993,45
6,ackn,61, , , , , 
6,add, ,2, ,sell,5133,35
6,ackn,62, , , , , 
6,add, ,3, ,buy,5008,29
6,ackn,63, , , , , 
6,add, ,4, ,sell,5052,13
6,ackn,64, , , , , 
6,cancel,55, , , , ,34
6,add, ,6, ,sell,5088,13
6,ackn,65, , , , , 
6,add, ,7, ,sell,5051,4
6,ackn,66, , , , , 
6,add, ,8, ,buy,5029,10
6,ackn,67, , , , , 
6,add, ,9, ,buy,5002,61
6,ackn,68, , , , , 
7,add, ,0, ,buy,4941,38
7,ackn,69, , , , , 
7,add, ,1, ,sell,5098,51
7,ackn,70, , , , , 
7,add, ,2, ,sell,5048,43
7,ackn,71, , , , , 
7,add, ,3, ,sell,5160,7
7,ackn,72, , , , , 
7,add, ,4, ,buy,4985,43
7,ackn,73, , , , , 
7,add, ,5, ,sell,5043,7
7,ackn,74, , , , , 
7,add, ,6, ,buy,5031,18
7,ackn,75, , , , , 
7,add, ,7, ,buy,5015,10
7,ackn,76, , , , , 
7,add, ,8, ,buy,5032,32
7,ackn,77, , , , , 
7,add, ,9, ,sell,5061,35
7,ackn,78, , , , , 
8,add, ,0, ,buy,5017,45
8,ackn,79, , , , , 
8,add, ,1, ,buy,5030,7
8,ackn,80, , , , , 
8,add, ,2, ,buy,4973,86
8,ackn,81, , , , , 
8,add, ,3, ,buy,5007,19
8,ackn,82, , , , , 
8,cancel,34, , , , ,0
8,add, ,5, ,buy,4969,9
8,ackn,83, , , , , 
8,add, ,6, ,sell,5058,6
8,ackn,84, , , , , 
8,add, ,7, ,sell,5064,22
8,ackn,85, , , , , 
8,add, ,8, ,buy,4944,22
8,ackn,86, , , , , 
8,cancel,9, , , , ,8
9,add, ,0, ,sell,5086,17
9,ackn,87, , , , , 
9,add, ,1, ,buy,5037,37
9,ackn,88, , , , , 
9,fill,20, ,5, , ,19
9,fill,29, ,6, , ,4
9,fill,8, ,7, , ,14
9,fill,88, ,8, , ,37
9,add, ,2, ,sell,5056,33
9,ackn,89, , , , , 
9,add, ,3, ,sell,5044,30
9,ackn,90, , , , , 
9,add, ,4, ,buy,5027,19
9,ackn,91, , , , , 
9,add, ,5, ,buy,5015,21
9,ackn,92, , , , , 
9,add, ,6, ,sell,5067,11
9,ackn,93, , , , , 
9,add, ,7, ,buy,4979,16
9,ackn,94, , , , , 
9,add, ,8, ,buy,4974,7
9,ackn,95, , , , , 
9,add, ,9, ,buy,5004,29
9,ackn,96, , , , , 
10,cancel,10, , , , ,10
10,add, ,1, ,buy,5012,46
10,ackn,97, , , , , 
10,add, ,2, ,buy,5029,30
10,ackn,98, , , , , 
10,add, ,3, ,buy,5036,46
10,ackn,99, , , , , 
10,fill,8, ,9, , ,3
10,fill,54, ,10, , ,34
10,fill,27, ,11, , ,7
10,fill,58, ,12, , ,2
10,fill,99, ,13, , ,46
10,add, ,4, ,buy,5007,3
10,ackn,100, , , , , 
10,add, ,5, ,sell,5048,19
10,ackn,101, , , , , 
10,add, ,6, ,buy,5036,7
10,ackn,102, , , , , 
10,fill,58, ,14, , ,2
10,fill,102, ,15, , ,2
10,add, ,7, ,sell,5052,33
10,ackn,103, , , , , 
10,add, ,8, ,sell,5060,6
10,ackn,104, , , , , 
10,add, ,9, ,buy,4891,12
10,ackn,105, , , , , 
11,add, ,0, ,sell,5043,44
11,ackn,106, , , , , 
11,add, ,1, ,sell,5062,57
11,ackn,107, , , , , 
11,add, ,2, ,sell,5094,36
11,ackn,108, , , , , 
11,add, ,3, ,buy,4974,2
11,ackn,109, , , , , 
11,add, ,4, ,sell,5084,6
11,ackn,110, , , , , 
11,add, ,5, ,buy,5035,23
11,ackn,111, , , , , 
11,add, ,6, ,sell,5099,47
11,ackn,112, , , , , 
11,add, ,7, ,buy,4990,10
11,ackn,113, , , , , 
11,add, ,8, ,sell,5107,12
11,ackn,114, , , , , 
11,cancel,59, , , , ,0
12,add, ,0, ,sell,5067,72
12,ackn,115, , , , , 
12,add, ,1, ,buy,4947,2
12,ackn,116, , , , , 
12,add, ,2, ,sell,5118,1
12,ackn,117, , , , , 
12,add, ,3, ,buy,5007,18
12,ackn,118, , , , , 
12,add, ,4, ,sell,5045,1
12,ackn,119, , , , , 
12,add, ,5, ,buy,5021,27
12,ackn,120, , , , , 
12,add, ,6, ,sell,5062,16
12,ackn,121, , , , , 
12,add, ,7, ,buy,5009,47
12,ackn,122, , , , , 
12,add, ,8, ,buy,4990,56
12,ackn,123, , , , , 
12,add, ,9, ,buy,4978,50
12,ackn,124, , , , , 
13,add, ,0, ,sell,5068,12
13,ackn,125, , , , , 
13,add, ,1, ,buy,4916,12
13,ackn,126, , , , , 
13,add, ,2, ,buy,4996,90
13,ackn,127, , , , , 
13,add, ,3, ,sell,5160,9
13,ackn,128, , , , , 
13,add, ,4, ,buy,5032,39
13,ackn,129, , , , , 
13,add, ,5, ,buy,5017,29
13,ackn,130, , , , , 
13,add, ,6, ,buy,4989,18
13,ackn,131, , , , , 
13,add, ,7, ,buy,5032,24
13,ackn,132, , , , , 
13,add, ,8, ,buy,5003,6
13,ackn,133, , , , , 
13,add, ,9, ,buy,5003,24
13,ackn,134, , , , , 
14,add, ,0, ,sell,5037,53
14,ackn,135, , , , , 
14,add, ,1, ,sell,5054,15
14,ackn,136, , , , , 
14,add, ,2, ,buy,5027,24
14,ackn,137, , , , , 
14,add, ,3, ,buy,4960,10
14,ackn,138, , , , , 
14,add, ,4, ,buy,5029,36
14,ackn,139, , , , , 
14,add, ,5, ,buy,4962,36
14,ackn,140, , , , , 
14,add, ,6, ,buy,4994,40
14,ackn,141, , , , , 
14,add, ,7, ,buy,5001,49
14,ackn,142, , , , , 
14,add, ,8, ,buy,4916,25
14,ackn,143, , , , , 
14,add, ,9, ,sell,5051,12
14,ackn,144, , , , , 
15,add, ,0, ,sell,5058,4
15,ackn,145, , , , , 
15,add, ,1, ,buy,5017,2
15,ackn,146, , , , , 
15,add, ,2, ,sell,5059,15
15,ackn,147, , , , , 
15,add, ,3, ,sell,5083,75
15,ackn,148, , , , , 
15,add, ,4, ,buy,5011,6
15,ackn,149, , , , , 
15,add, ,5, ,buy,5015,16
15,ackn,150, , , , , 
15,add, ,6, ,sell,5035,44
15,ackn,151, , , , , 
15,fill,102, ,16, , ,5
15,fill,111, ,17, , ,23
15,fill,151, ,18, , ,28
15,add, ,7, ,sell,5059,66
15,ackn,152, , , , , 
15,add, ,8, ,buy,5001,36
